account_id,customer_id,account_type,currency,balance,created_at,status
ACC0000001,CUST005543,CHECKING,EUR,1990.33,2023-05-01 21:28:57,CLOSED
ACC0000002,CUST008987,SAVINGS,EUR,928.98,2026-07-05 11:22:47,ACTIVE
ACC0000003,CUST006842,BUSINESS,GBP,2385.65,2024-05-23 15:36:13,ACTIVE
ACC0000004,CUST005868,BUSINESS,EUR,6820.14,2025-09-27 11:43:57,ACTIVE
ACC0000005,CUST003570,BUSINESS,EUR,828.0,2025-03-07 20:08:19,ACTIVE
ACC0000006,CUST008257,SAVINGS,EUR,828.02,2026-03-27 07:11:21,SUSPENDED
ACC0000007,CUST000854,SAVINGS,EUR,7295.81,2024-07-30 01:27:08,CLOSED
ACC0000008,CUST000495,SAVINGS,JPY,2754.31,2023-04-27 15:50:57,SUSPENDED
ACC0000009,CUST008575,SAVINGS,JPY,624.3,2026-02-23 14:27:08,SUSPENDED
ACC0000010,CUST003830,CHECKING,EUR,2102.9,2023-08-16 03:00:37,ACTIVE
ACC0000011,CUST005483,SAVINGS,AUD,628.85,2023-04-06 15:11:51,ACTIVE
ACC0000012,CUST004256,CHECKING,EUR,627.11,2024-06-07 02:01:52,ACTIVE
ACC0000013,CUST000417,BUSINESS,EUR,1466.09,2024-11-03 01:46:28,SUSPENDED
ACC0000014,CUST009896,CHECKING,EUR,110.39,2022-09-21 01:17:00,ACTIVE
ACC0000015,CUST003278,BUSINESS,JPY,138.39,2023-12-04 01:22:11,ACTIVE
ACC0000016,CUST001374,SAVINGS,PKR,558.5,2022-08-10 03:42:15,SUSPENDED
ACC0000017,CUST007363,SAVINGS,JPY,325.25,2024-08-07 02:12:58,ACTIVE
ACC0000018,CUST000145,SAVINGS,EUR,1598.94,2022-05-09 11:53:20,ACTIVE
ACC0000019,CUST005271,SAVINGS,CAD,368.84,2025-08-11 21:22:39,ACTIVE
ACC0000020,CUST000947,BUSINESS,INR,201.39,2026-05-15 15:40:45,ACTIVE
ACC0000021,CUST008196,BUSINESS,PKR,6366.33,2025-01-24 11:20:41,ACTIVE
ACC0000022,CUST008189,BUSINESS,EUR,836.37,2023-08-24 19:27:47,ACTIVE
ACC0000023,CUST005641,SAVINGS,JPY,1189.2,2022-06-29 13:52:49,ACTIVE
ACC0000024,CUST007149,CHECKING,PKR,198.4,2026-04-11 07:30:54,SUSPENDED
ACC0000025,CUST000453,CHECKING,INR,570.63,2026-08-09 00:36:55,SUSPENDED
ACC0000026,CUST004255,CHECKING,EUR,1252.76,2023-03-06 07:46:21,ACTIVE
ACC0000027,CUST007813,CHECKING,PKR,275.56,2025-08-02 15:11:55,ACTIVE
ACC0000028,CUST002134,SAVINGS,GBP,1721.3,2026-01-21 21:08:12,CLOSED
ACC0000029,CUST003380,CHECKING,AUD,533.38,2024-11-18 03:07:00,ACTIVE
ACC0000030,CUST002885,CHECKING,CAD,772.76,2026-05-29 04:27:07,CLOSED
ACC0000031,CUST002413,SAVINGS,EUR,532.7,2024-10-05 07:43:46,ACTIVE
ACC0000032,CUST001744,CHECKING,USD,10124.71,2025-02-26 17:09:17,ACTIVE
ACC0000033,CUST006079,BUSINESS,CAD,1079.01,2026-01-03 21:39:56,ACTIVE
ACC0000034,CUST006979,BUSINESS,USD,308.2,2025-08-21 04:12:38,ACTIVE
ACC0000035,CUST008058,CHECKING,INR,2942.61,2026-06-27 19:02:33,ACTIVE
ACC0000036,CUST002694,CHECKING,PKR,253.4,2024-12-01 14:19:00,ACTIVE
ACC0000037,CUST002583,BUSINESS,EUR,1409.0,2025-07-06 22:51:18,SUSPENDED
ACC0000038,CUST006095,CHECKING,CAD,104.42,2023-05-16 01:50:26,ACTIVE
ACC0000039,CUST004395,BUSINESS,EUR,222.78,2025-08-09 15:52:50,ACTIVE
ACC0000040,CUST009456,BUSINESS,AUD,1388.85,2024-09-24 15:28:25,ACTIVE
ACC0000041,CUST000531,SAVINGS,GBP,2660.21,2024-11-27 11:08:38,ACTIVE
ACC0000042,CUST001697,SAVINGS,JPY,1347.01,2026-03-12 22:01:57,SUSPENDED
ACC0000043,CUST000129,CHECKING,EUR,954.53,2026-01-29 00:57:05,SUSPENDED
ACC0000044,CUST002936,CHECKING,EUR,764.08,2021-12-04 17:05:29,ACTIVE
ACC0000045,CUST002953,BUSINESS,PKR,186.01,2026-01-20 05:31:33,ACTIVE
ACC0000046,CUST009317,BUSINESS,PKR,462.29,2024-05-23 00:10:23,ACTIVE
ACC0000047,CUST001568,SAVINGS,INR,630.95,2025-02-13 06:32:50,ACTIVE
ACC0000048,CUST006513,SAVINGS,EUR,3899.28,2025-05-12 12:49:19,ACTIVE
ACC0000049,CUST001269,CHECKING,EUR,1656.3,2024-08-13 09:09:04,ACTIVE
ACC0000050,CUST008952,CHECKING,AED,132.2,2022-11-12 21:50:29,ACTIVE
ACC0000051,CUST007383,SAVINGS,EUR,1617.93,2022-08-28 11:45:22,ACTIVE
ACC0000052,CUST003540,CHECKING,PKR,690.84,2024-11-20 20:10:15,ACTIVE
