merchant_id,merchant_name,merchant_category,country,risk_category
MER00001,"Young, Ibarra and Martin",TRANSPORT,IN,LOW
MER00002,Barajas-Gonzales,FASHION,DE,HIGH
MER00003,"Davis, Kelly and Ross",FASHION,FR,HIGH
MER00004,Wheeler Group,UTILITIES,IT,LOW
MER00005,"Jimenez, Anderson and Robinson",RESTAURANT,IT,MEDIUM
MER00006,Dyer Inc,FASHION,PK,MEDIUM
MER00007,Lane-Rivers,GAMING,JP,MEDIUM
MER00008,Johnson-Harris,GAMING,DE,LOW
MER00009,"Higgins, Waters and Brooks",GROCERY,JP,MEDIUM
MER00010,"Le, Fritz and Russell",GROCERY,AE,LOW
MER00011,Rosario-Hamilton,TRAVEL,PK,MEDIUM
MER00012,Wilson LLC,TRAVEL,CA,MEDIUM
MER00013,Warner Ltd,GAMING,AU,MEDIUM
MER00014,Marquez and Sons,GROCERY,PK,HIGH
MER00015,"Jacobs, Clark and Thompson",GAMING,ES,LOW
MER00016,Richards Ltd,UTILITIES,US,LOW
MER00017,Maxwell-Ferguson,ELECTRONICS,IT,MEDIUM
MER00018,Williams Inc,ENTERTAINMENT,NL,HIGH
MER00019,Kim-Ward,RESTAURANT,DE,MEDIUM
MER00020,Barrett-Clark,GAMING,JP,LOW
MER00021,"Terry, Jordan and Fox",ENTERTAINMENT,BE,MEDIUM
MER00022,Mcguire Inc,E_COMMERCE,SG,MEDIUM
MER00023,"Mccoy, Blackwell and Charles",TRAVEL,GB,MEDIUM
MER00024,"Vasquez, Harris and Ferguson",FINANCIAL_SERVICES,AU,MEDIUM
MER00025,Harvey LLC,ENTERTAINMENT,ES,LOW
MER00026,Smith-Ward,E_COMMERCE,JP,LOW
MER00027,Anderson Group,FINANCIAL_SERVICES,CA,LOW
MER00028,"Sanders, Brown and Perry",E_COMMERCE,AU,LOW
MER00029,"Kelly, Watkins and Hernandez",RESTAURANT,IT,MEDIUM
MER00030,Woods PLC,ELECTRONICS,JP,MEDIUM
MER00031,Sampson LLC,ENTERTAINMENT,DE,LOW
MER00032,Beck PLC,UTILITIES,FR,LOW
MER00033,"King, Rogers and Weaver",GAMING,AU,LOW
MER00034,Davis Ltd,TRAVEL,JP,MEDIUM
MER00035,Smith-George,ELECTRONICS,JP,MEDIUM
MER00036,"Andersen, Williams and Rodriguez",TRANSPORT,ES,MEDIUM
MER00037,Smith Group,TRAVEL,AU,MEDIUM
MER00038,Jackson-Myers,TRAVEL,BE,MEDIUM
MER00039,Larson PLC,RESTAURANT,JP,LOW
MER00040,Bailey-Howe,FINANCIAL_SERVICES,GB,MEDIUM
MER00041,Hall-Hubbard,TRAVEL,IT,LOW
MER00042,"Thomas, Winters and Moreno",TRANSPORT,PK,LOW
MER00043,Orr-Watson,FASHION,US,LOW
MER00044,"Espinoza, Calhoun and Taylor",TRAVEL,IN,LOW
MER00045,Stevens-Hanson,GAMING,CA,LOW
MER00046,"Spencer, Hunt and Lee",E_COMMERCE,IN,HIGH
MER00047,Moore-Garcia,UTILITIES,NL,MEDIUM
MER00048,Herrera Group,TRANSPORT,GB,MEDIUM
MER00049,Phillips-Marshall,FINANCIAL_SERVICES,AU,LOW
MER00050,"Terry, Kelley and Cohen",TRANSPORT,IT,LOW
MER00051,Huynh PLC,ELECTRONICS,CA,HIGH
MER00052,Valdez-Hall,FINANCIAL_SERVICES,BE,LOW
MER00053,Reed-Hill,RESTAURANT,FR,LOW
MER00054,Clark PLC,RESTAURANT,JP,HIGH
MER00055,"Diaz, Rodriguez and Jenkins",FINANCIAL_SERVICES,SG,HIGH
MER00056,Jones Ltd,GAMING,BE,LOW
MER00057,Brown Ltd,ENTERTAINMENT,NL,MEDIUM
MER00058,Reed-Love,ENTERTAINMENT,IN,MEDIUM
MER00059,"Carroll, Reeves and Lopez",E_COMMERCE,AU,LOW
MER00060,"Sanchez, Hill and Sanchez",ENTERTAINMENT,US,LOW
MER00061,Martin-Vazquez,RESTAURANT,BE,HIGH
MER00062,Romero Ltd,FINANCIAL_SERVICES,IN,MEDIUM
MER00063,"Morrison, Lewis and Stewart",HEALTHCARE,IN,LOW
MER00064,"Bailey, Morris and Ramirez",GAMING,IT,LOW
MER00065,"Fischer, Novak and Perez",RESTAURANT,ES,HIGH
MER00066,Reyes-Howell,HEALTHCARE,JP,MEDIUM
MER00067,Johnston PLC,UTILITIES,BE,MEDIUM
MER00068,Morton-Green,E_COMMERCE,FR,LOW
MER00069,Giles-Walton,ENTERTAINMENT,AE,HIGH
MER00070,"Garrett, Beck and Mcdonald",GAMING,PK,MEDIUM
MER00071,Webb PLC,TRAVEL,CA,MEDIUM
MER00072,Perkins-Jackson,GROCERY,DE,LOW
MER00073,Lee LLC,GROCERY,ES,HIGH
MER00074,"Valdez, Bennett and Webb",RESTAURANT,NL,HIGH
MER00075,Miller PLC,TRAVEL,FR,HIGH
MER00076,"Stone, Johnson and Jones",E_COMMERCE,US,MEDIUM
MER00077,Hinton Ltd,RESTAURANT,AE,LOW
MER00078,Butler-Ford,UTILITIES,ES,MEDIUM
MER00079,Robinson-Taylor,UTILITIES,ES,LOW
MER00080,Ruiz Group,HEALTHCARE,IN,LOW
MER00081,Lewis Inc,RESTAURANT,BE,LOW
MER00082,Schultz Group,TRAVEL,GB,MEDIUM
MER00083,Wade Inc,GAMING,FR,LOW
MER00084,Baxter and Sons,UTILITIES,US,MEDIUM
MER00085,Reynolds Inc,GAMING,AE,HIGH
MER00086,Daniels Ltd,TRAVEL,IT,HIGH
MER00087,Casey and Sons,E_COMMERCE,FR,LOW
