transaction_id,account_id,merchant_id,transaction_timestamp,transaction_type,amount,currency,payment_method,country,status
TX000000001,ACC0008938,MER00503,2026-08-08 07:09:34,REFUND,120.58,AUD,BANK_TRANSFER,AU,COMPLETED
TX000000002,ACC0003744,MER00316,2026-02-02 03:14:58,PURCHASE,4.19,EUR,CASH,FR,REVERSED
TX000000003,ACC0008498,MER00856,2026-02-10 07:55:09,PAYMENT,23.09,EUR,CARD,FR,REVERSED
TX000000004,ACC0001430,MER00027,2026-07-23 07:15:35,TRANSFER,31.63,EUR,DIGITAL_WALLET,FR,COMPLETED
TX000000005,ACC0010009,MER00748,2026-07-13 01:22:51,PAYMENT,33.7,EUR,BANK_TRANSFER,FR,REVERSED
TX000000006,ACC0006266,MER00376,2025-09-03 02:36:07,TRANSFER,40.39,EUR,BANK_TRANSFER,FR,REVERSED
TX000000007,ACC0008173,MER00647,2026-01-29 01:13:57,PURCHASE,64.81,GBP,CARD,GB,COMPLETED
TX000000008,ACC0007219,MER00876,2026-02-15 18:44:48,PAYMENT,31.85,AUD,CARD,AU,REVERSED
TX000000009,ACC0001556,MER00035,2026-02-12 16:15:29,REFUND,22.09,JPY,CARD,JP,FAILED
TX000000010,ACC0007687,MER00924,2025-10-26 23:18:15,PURCHASE,21.15,EUR,DIRECT_DEBIT,FR,COMPLETED
TX000000011,ACC0011545,MER00057,2026-03-02 21:08:03,PURCHASE,16.9,GBP,CARD,GB,FAILED
TX000000012,ACC0004023,MER00344,2025-12-21 06:39:42,PAYMENT,78.75,AED,BANK_TRANSFER,AE,PENDING
TX000000013,ACC0011210,MER00117,2025-11-14 00:29:24,TRANSFER,16.26,GBP,DIGITAL_WALLET,GB,COMPLETED
TX000000014,ACC0003460,MER00082,2026-06-05 15:43:36,PAYMENT,84.05,EUR,BANK_TRANSFER,FR,COMPLETED
TX000000015,ACC0007137,MER00720,2026-02-24 05:07:45,PURCHASE,33.81,AUD,BANK_TRANSFER,AU,FAILED
TX000000016,ACC0008327,MER00511,2026-07-29 17:33:57,PAYMENT,18.66,EUR,DIRECT_DEBIT,FR,FAILED
TX000000017,ACC0008389,MER00312,2026-08-17 20:05:53,PURCHASE,65.38,EUR,DIRECT_DEBIT,FR,PENDING
TX000000018,ACC0005825,MER00477,2025-10-06 06:08:52,PAYMENT,14.88,EUR,CARD,FR,COMPLETED
TX000000019,ACC0009811,MER00089,2026-03-17 03:07:31,TRANSFER,66.82,EUR,BANK_TRANSFER,FR,COMPLETED
TX000000020,ACC0010606,MER00889,2026-05-19 17:12:41,WITHDRAWAL,41.85,AED,DIRECT_DEBIT,AE,PENDING
TX000000021,ACC0002899,MER00820,2026-05-03 05:34:25,PURCHASE,17.19,EUR,CARD,FR,COMPLETED
TX000000022,ACC0008830,MER00881,2026-01-06 14:55:50,PAYMENT,59.23,EUR,CARD,FR,REVERSED
TX000000023,ACC0008081,MER00687,2026-06-01 20:23:51,WITHDRAWAL,60.42,EUR,DIRECT_DEBIT,FR,REVERSED
TX000000024,ACC0006974,MER00556,2026-03-23 07:32:27,PAYMENT,118.31,EUR,CARD,FR,COMPLETED
TX000000025,ACC0000343,MER00235,2026-04-15 01:31:24,PURCHASE,95.85,EUR,CARD,FR,PENDING
TX000000026,ACC0003741,MER00051,2026-02-20 03:13:05,PURCHASE,56.85,USD,CARD,US,COMPLETED
TX000000027,ACC0004466,MER00774,2026-07-11 01:45:02,PURCHASE,9.58,EUR,BANK_TRANSFER,FR,COMPLETED
TX000000028,ACC0001560,MER00826,2025-12-17 02:05:12,PURCHASE,489.53,EUR,DIGITAL_WALLET,FR,FAILED
TX000000029,ACC0004625,MER00615,2025-09-11 04:49:07,PURCHASE,7.07,USD,CARD,US,PENDING
TX000000030,ACC0010330,MER00772,2025-09-24 21:06:31,WITHDRAWAL,94.08,EUR,CARD,FR,FAILED
TX000000031,ACC0004432,MER00806,2025-12-06 20:07:15,PAYMENT,53.22,EUR,DIGITAL_WALLET,FR,PENDING
TX000000032,ACC0009677,MER00490,2026-04-04 11:37:58,PURCHASE,9.1,EUR,CARD,FR,FAILED
TX000000033,ACC0006950,MER00556,2025-11-20 10:36:53,TRANSFER,28.88,JPY,CASH,JP,REVERSED
TX000000034,ACC0009303,MER00460,2025-11-27 07:48:17,TRANSFER,30.37,AED,CARD,AE,PENDING
TX000000035,ACC0003214,MER00344,2026-06-10 19:36:05,PURCHASE,139.23,EUR,DIGITAL_WALLET,FR,COMPLETED
TX000000036,ACC0004600,MER00739,2025-11-02 14:08:55,PURCHASE,15.11,EUR,CARD,FR,PENDING
TX000000037,ACC0003234,MER00957,2025-12-27 11:38:53,PAYMENT,24.83,EUR,CASH,FR,COMPLETED
TX000000038,ACC0009151,MER00843,2026-05-09 16:40:46,REFUND,2.54,EUR,CARD,FR,COMPLETED
TX000000039,ACC0002921,MER00892,2026-04-15 16:39:47,PURCHASE,223.24,EUR,DIRECT_DEBIT,FR,COMPLETED
TX000000040,ACC0005109,MER00049,2025-12-15 05:08:04,REFUND,10.2,JPY,CARD,JP,COMPLETED
TX000000041,ACC0011099,MER00462,2026-02-12 08:49:47,PURCHASE,47.45,EUR,CARD,FR,COMPLETED
TX000000042,ACC0008044,MER00741,2026-01-06 21:13:14,PURCHASE,29.62,GBP,CARD,GB,REVERSED
TX000000043,ACC0010380,MER00153,2026-07-08 14:59:02,PURCHASE,29.73,SGD,CARD,SG,REVERSED
TX000000044,ACC0008399,MER00587,2026-06-02 15:54:06,TRANSFER,80.71,JPY,CARD,JP,REVERSED
TX000000045,ACC0001227,MER00778,2026-07-31 07:45:12,TRANSFER,208.18,PKR,DIRECT_DEBIT,PK,REVERSED
TX000000046,ACC0010803,MER00835,2026-03-17 14:39:25,PAYMENT,43.67,AUD,CASH,AU,COMPLETED
TX000000047,ACC0010516,MER00625,2025-10-20 11:33:19,PURCHASE,68.07,USD,BANK_TRANSFER,US,COMPLETED
TX000000048,ACC0008123,MER00914,2025-11-12 14:24:18,PURCHASE,47.55,EUR,CARD,FR,PENDING
TX000000049,ACC0005582,MER00915,2026-04-19 19:43:06,PURCHASE,101.42,EUR,CARD,FR,PENDING
TX000000050,ACC0008034,MER00701,2025-10-02 06:36:58,WITHDRAWAL,19.9,JPY,CARD,JP,COMPLETED
TX000000051,ACC0004487,MER00704,2026-03-02 03:57:45,PURCHASE,108.09,EUR,DIRECT_DEBIT,FR,COMPLETED
TX000000052,ACC0001316,MER00638,2026-04-05 18:20:20,TRANSFER,112.34,CAD,CARD,CA,FAILED
TX000000053,ACC0006495,MER00402,2026-03-03 15:34:19,PURCHASE,108.94,GBP,CARD,GB,COMPLETED
TX000000054,ACC0000845,MER00435,2026-07-03 16:50:36,PURCHASE,16.02,EUR,DIGITAL_WALLET,FR,FAILED
TX000000055,ACC0007142,MER00167,2026-01-14 08:35:20,REFUND,27.52,SGD,BANK_TRANSFER,SG,FAILED
TX000000056,ACC0006096,MER00714,2025-10-14 23:26:19,REFUND,43.1,EUR,CASH,FR,COMPLETED
TX000000057,ACC0002015,MER00183,2025-12-30 10:29:59,PURCHASE,7.33,EUR,DIGITAL_WALLET,FR,PENDING
TX000000058,ACC0010744,MER00893,2026-08-18 15:44:28,WITHDRAWAL,191.41,CAD,BANK_TRANSFER,CA,PENDING
TX000000059,ACC0007837,MER00002,2026-08-16 04:09:22,PAYMENT,32.67,AUD,CASH,AU,COMPLETED
TX000000060,ACC0000024,MER00131,2026-06-26 05:56:48,PURCHASE,45.26,PKR,DIGITAL_WALLET,PK,COMPLETED
TX000000061,ACC0004533,MER00314,2026-03-14 10:06:33,PURCHASE,17.55,USD,CARD,US,COMPLETED
TX000000062,ACC0011459,MER00993,2026-08-22 00:21:13,PURCHASE,7.69,EUR,DIRECT_DEBIT,FR,PENDING
TX000000063,ACC0000656,MER00431,2026-06-26 01:06:17,REFUND,17.04,JPY,CARD,JP,REVERSED
TX000000064,ACC0009242,MER00315,2026-06-19 00:55:00,PAYMENT,42.15,AED,DIRECT_DEBIT,AE,PENDING
TX000000065,ACC0004982,MER00616,2026-02-28 01:37:59,PAYMENT,69.46,USD,DIRECT_DEBIT,US,PENDING
